student_id,college_id,name,degree,specialization,cgpa,years_of_experience,verified_skills,skill_level,communication_score,teamwork_score,leadership_score,internship_count,project_count
STU_0214,COL_20,Student_214,MBA,DS,6.15,2,"Python,Java,AWS,Data Analysis",Intermediate,0.93,0.38,0.83,3,1
STU_0215,COL_09,Student_215,MSc,AI,6.33,0,"Python,SQL,JavaScript,Data Analysis,ML",Intermediate,0.14,0.67,0.62,0,3
STU_0216,COL_07,Student_216,MSc,CSE,7.21,4,"React,API Design,ML",Intermediate,0.76,0.31,0.41,2,6
STU_0217,COL_16,Student_217,BSc,CSE,6.85,2,"AWS,Django,ML",Intermediate,0.8,0.27,0.69,2,3
STU_0218,COL_06,Student_218,BSc,Business,6.79,4,"Python,React,Django,JavaScript,API Design",Intermediate,0.98,0.79,0.77,3,4
STU_0219,COL_01,Student_219,MSc,CSE,7.62,4,"API Design,Django",Intermediate,0.74,0.44,0.67,1,2
STU_0220,COL_08,Student_220,BSc,CSE,8.02,2,"Java,ML,SQL,Python,React",Basic,0.36,0.78,0.57,2,4
STU_0221,COL_16,Student_221,MBA,DS,6.06,1,"ML,API Design",Intermediate,0.39,0.07,0.64,2,3
STU_0222,COL_02,Student_222,MTech,Finance,7.36,3,"AWS,SQL,Python,Django,Java",Basic,1.0,0.98,0.65,0,2
STU_0223,COL_20,Student_223,BTech,Business,6.19,2,"Django,React",Intermediate,0.7,0.65,0.28,2,1
STU_0224,COL_07,Student_224,MSc,CSE,6.63,3,"React,JavaScript,API Design",Basic,0.17,0.45,0.45,3,6
STU_0225,COL_06,Student_225,BSc,AI,7.71,4,"JavaScript,React",Intermediate,0.35,0.05,0.03,3,2
STU_0226,COL_17,Student_226,MSc,AI,6.86,2,"SQL,Java,ML,Django",Intermediate,0.6,0.62,0.94,0,6
STU_0227,COL_14,Student_227,MSc,AI,6.23,3,"API Design,SQL",Intermediate,0.06,0.94,0.07,2,5
STU_0228,COL_20,Student_228,BSc,Finance,8.66,3,"Python,API Design,Django,Java,SQL",Intermediate,0.67,0.06,0.21,1,4
STU_0229,COL_18,Student_229,MTech,DS,7.97,4,"Data Analysis,Python,Java,AWS,SQL",Basic,0.46,0.31,0.82,1,5
STU_0230,COL_02,Student_230,BTech,Business,8.54,1,"JavaScript,API Design,ML,SQL",Intermediate,0.2,0.49,0.74,2,4
STU_0231,COL_12,Student_231,BSc,AI,7.26,2,"AWS,ML,API Design,React,Python",Basic,0.95,0.18,0.57,0,4
STU_0232,COL_14,Student_232,MSc,AI,7.93,0,"Java,Python",Intermediate,0.9,0.6,0.58,2,6
STU_0233,COL_06,Student_233,BSc,IT,7.29,2,"Data Analysis,Django,Java,JavaScript,React",Advanced,0.25,0.26,0.0,2,2
STU_0234,COL_18,Student_234,BTech,AI,7.32,0,"ML,JavaScript,Java",Advanced,0.04,0.29,0.21,1,7
STU_0235,COL_13,Student_235,MBA,CSE,8.7,4,"JavaScript,React,API Design,SQL,AWS",Intermediate,0.48,0.67,0.76,3,7
STU_0236,COL_17,Student_236,BSc,AI,8.35,3,"JavaScript,Java,Django",Advanced,0.8,0.75,0.22,3,7
STU_0237,COL_12,Student_237,BTech,Finance,6.39,0,"Data Analysis,Django,SQL,AWS,API Design",Intermediate,0.21,0.56,0.86,3,7
STU_0238,COL_06,Student_238,MTech,Business,6.07,2,"Java,AWS,API Design",Advanced,0.67,0.93,0.27,0,6
STU_0239,COL_19,Student_239,MSc,IT,8.17,4,"AWS,React,Data Analysis,Django",Basic,0.72,0.71,0.62,1,3
STU_0240,COL_03,Student_240,BSc,AI,6.91,1,"AWS,Django,JavaScript,ML,API Design",Basic,0.71,0.27,0.34,0,1
STU_0241,COL_02,Student_241,BSc,IT,6.02,1,"Data Analysis,AWS",Intermediate,0.06,0.01,0.21,0,4
STU_0242,COL_15,Student_242,MTech,IT,9.13,3,"SQL,AWS,API Design,React",Advanced,0.82,0.17,0.49,3,6
STU_0243,COL_15,Student_243,MTech,IT,6.48,0,"API Design,Data Analysis",Intermediate,0.93,0.82,0.57,2,3
STU_0244,COL_08,Student_244,MTech,IT,7.14,0,"React,Python,JavaScript,SQL,ML",Intermediate,0.23,0.9,0.78,3,4
STU_0245,COL_19,Student_245,BSc,AI,6.78,1,"AWS,Data Analysis",Intermediate,0.35,0.05,0.05,3,1
STU_0246,COL_08,Student_246,MBA,CSE,6.89,1,"Django,SQL,Java",Basic,0.56,0.16,0.83,3,6
STU_0247,COL_13,Student_247,BSc,Business,6.64,4,"API Design,React,Django,Java",Basic,0.42,0.6,0.94,1,4
STU_0248,COL_06,Student_248,BSc,IT,9.4,0,"Java,AWS",Intermediate,0.55,0.4,0.83,3,5
STU_0249,COL_17,Student_249,BSc,IT,6.37,3,"Python,Java",Advanced,0.04,0.42,0.17,0,2
STU_0250,COL_03,Student_250,BSc,CSE,7.1,1,"Django,ML,API Design,Python,AWS",Intermediate,0.53,0.68,0.43,3,2
STU_0251,COL_11,Student_251,MBA,Finance,6.03,1,"AWS,JavaScript",Advanced,0.22,0.88,0.56,1,3
STU_0252,COL_11,Student_252,BTech,AI,7.14,0,"Django,SQL",Intermediate,0.62,0.45,0.78,0,4
STU_0253,COL_12,Student_253,BTech,IT,6.42,0,"Python,Java",Intermediate,0.13,0.57,0.44,1,6
STU_0254,COL_10,Student_254,BTech,Business,7.38,0,"ML,Python",Advanced,0.97,0.14,0.23,3,2
STU_0255,COL_12,Student_255,BTech,IT,9.24,2,"ML,API Design,SQL,React",Intermediate,0.31,0.04,0.59,0,4
STU_0256,COL_07,Student_256,MTech,IT,6.96,2,"JavaScript,Java,Python,AWS",Basic,0.22,0.32,0.26,3,5
STU_0257,COL_16,Student_257,MSc,AI,6.18,3,"Java,JavaScript",Intermediate,0.69,0.55,0.22,0,5
STU_0258,COL_20,Student_258,MBA,AI,8.57,3,"Python,Django,Data Analysis",Basic,0.64,0.26,0.89,3,7
STU_0259,COL_04,Student_259,BTech,DS,7.44,3,"Data Analysis,AWS,JavaScript,React",Intermediate,0.08,0.03,0.99,0,2
STU_0260,COL_09,Student_260,MTech,AI,9.42,2,"Python,React",Intermediate,0.67,0.5,0.64,2,5
STU_0261,COL_11,Student_261,BTech,DS,7.95,3,"Django,React,AWS,JavaScript",Basic,0.77,0.25,0.87,3,3
STU_0262,COL_11,Student_262,MTech,DS,9.37,2,"React,API Design,AWS,SQL,Data Analysis",Intermediate,0.14,0.02,0.46,1,1
STU_0263,COL_13,Student_263,BTech,Business,6.77,4,"React,AWS,Data Analysis",Intermediate,0.93,0.33,0.47,0,2
STU_0264,COL_02,Student_264,MSc,AI,8.72,2,"Data Analysis,AWS,API Design,Django,Python",Advanced,0.59,0.17,0.02,0,2
STU_0265,COL_14,Student_265,MBA,IT,6.45,1,"Python,JavaScript,Java,Data Analysis,AWS",Intermediate,0.99,0.61,0.31,0,4
STU_0266,COL_20,Student_266,MTech,Business,7.04,4,"Java,Data Analysis,Python,React",Advanced,0.13,0.13,0.81,0,1
STU_0267,COL_15,Student_267,MSc,IT,7.11,2,"Java,AWS,SQL,Python,API Design",Intermediate,0.55,0.15,0.09,3,5
STU_0268,COL_20,Student_268,BSc,Finance,7.8,0,"Django,API Design,Data Analysis,Python",Intermediate,0.1,0.18,0.99,3,3
STU_0269,COL_16,Student_269,BSc,AI,8.04,0,"SQL,JavaScript,Django,ML",Intermediate,0.13,0.63,0.13,2,4
STU_0270,COL_12,Student_270,MSc,Finance,6.9,3,"React,Java,SQL,Python",Intermediate,0.31,0.49,0.8,2,3
STU_0271,COL_08,Student_271,MSc,IT,7.83,2,"Java,Python,AWS",Basic,0.64,0.82,0.04,2,3
STU_0272,COL_06,Student_272,MSc,Business,8.29,3,"ML,Java",Basic,0.7,0.56,0.36,0,5
STU_0273,COL_14,Student_273,MBA,CSE,9.41,4,"Java,AWS,Python",Intermediate,0.41,0.93,0.25,2,2
STU_0274,COL_11,Student_274,BTech,IT,8.86,4,"AWS,Java,Data Analysis,API Design",Basic,0.94,0.87,0.45,0,3
STU_0275,COL_06,Student_275,MTech,DS,8.31,3,"SQL,JavaScript,AWS",Basic,0.26,0.53,0.11,2,4
STU_0276,COL_01,Student_276,BTech,AI,7.37,1,"AWS,Data Analysis,React,API Design,Django",Intermediate,0.1,0.12,0.25,3,2
STU_0277,COL_20,Student_277,BSc,DS,7.98,0,"React,Data Analysis,API Design",Advanced,0.08,0.48,0.63,1,4
STU_0278,COL_18,Student_278,MTech,Finance,6.68,4,"JavaScript,Python",Intermediate,0.58,0.94,0.67,0,2
STU_0279,COL_05,Student_279,MSc,Business,8.16,0,"Django,SQL,Java",Basic,0.12,0.13,0.19,1,4
STU_0280,COL_06,Student_280,MBA,IT,7.55,2,"React,ML,AWS,Data Analysis",Intermediate,0.83,0.63,0.78,0,5
STU_0281,COL_16,Student_281,MSc,AI,6.05,0,"SQL,Django",Intermediate,0.37,0.63,0.01,2,3
STU_0282,COL_10,Student_282,MSc,Finance,7.35,3,"API Design,Python,AWS,React",Basic,0.55,0.52,0.99,0,4
STU_0283,COL_14,Student_283,MBA,Finance,6.17,1,"Data Analysis,API Design",Advanced,0.3,0.08,0.17,0,4
STU_0284,COL_14,Student_284,BTech,AI,7.25,2,"Data Analysis,Python,SQL",Basic,0.67,0.64,0.41,2,1
STU_0285,COL_08,Student_285,MSc,AI,7.17,0,"Java,API Design,SQL",Basic,0.62,0.21,0.59,0,2
STU_0286,COL_15,Student_286,MSc,Finance,6.98,0,"ML,Django,Python,SQL",Intermediate,0.98,0.18,0.8,1,4
STU_0287,COL_01,Student_287,BSc,AI,8.81,4,"Django,API Design,ML",Intermediate,0.57,0.06,0.63,2,4
STU_0288,COL_13,Student_288,MSc,Business,9.08,4,"API Design,Java",Intermediate,0.59,0.58,0.16,0,7
STU_0289,COL_13,Student_289,MSc,IT,6.24,2,"Django,AWS,API Design",Intermediate,0.2,0.51,0.13,0,7
STU_0290,COL_20,Student_290,MBA,Business,7.47,0,"SQL,AWS,JavaScript,ML,React",Basic,0.09,0.32,0.1,2,7
STU_0291,COL_03,Student_291,BTech,DS,8.19,0,"Django,Java,API Design,AWS,Data Analysis",Basic,0.59,0.32,0.63,2,3
STU_0292,COL_16,Student_292,BSc,CSE,8.0,2,"JavaScript,ML",Intermediate,0.07,0.83,0.18,2,2
STU_0293,COL_10,Student_293,BTech,AI,8.03,3,"JavaScript,API Design",Intermediate,0.56,0.71,0.66,2,2
STU_0294,COL_15,Student_294,MTech,Finance,9.26,1,"SQL,Data Analysis",Basic,0.14,0.86,0.5,3,5
STU_0295,COL_10,Student_295,MSc,CSE,8.66,1,"JavaScript,Python,SQL",Advanced,0.15,0.15,0.33,2,1
STU_0296,COL_13,Student_296,MTech,CSE,8.55,3,"Python,SQL,AWS",Intermediate,0.23,0.41,0.27,2,6
STU_0297,COL_16,Student_297,BTech,AI,8.78,3,"AWS,Django,Java,React",Intermediate,0.9,0.27,0.81,1,4
STU_0298,COL_16,Student_298,MSc,DS,9.06,4,"React,API Design",Intermediate,0.05,0.67,0.23,2,3
STU_0299,COL_02,Student_299,MSc,DS,6.62,4,"Python,Java,Django",Basic,0.78,0.8,0.99,0,7
STU_0300,COL_08,Student_300,MSc,DS,9.06,4,"AWS,Java,API Design,React,Django",Intermediate,0.19,0.72,0.51,2,1
